City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.38,98,100,0.97,GS,1730946100
1,lebu,-37.6167,-73.65,10.5,78,99,5.85,CL,1730946101
2,margaret river,-33.95,115.0667,15.33,58,85,5.31,AU,1730945964
3,jaragua,-15.7569,-49.3344,21.16,96,100,0.94,BR,1730946104
4,portland,45.5234,-122.6762,11.91,74,0,2.68,US,1730945960
5,iqaluit,63.7506,-68.5145,-4.15,85,100,1.03,CA,1730946106
6,tempio pausania,40.8974,9.1035,9.85,96,72,1.52,IT,1730946107
7,yamada,39.4667,141.95,7.82,50,99,3.27,JP,1730946108
8,itoman,26.1247,127.6694,24.01,60,75,7.2,JP,1730946109
9,cartagena,10.3997,-75.5144,28.79,79,20,5.14,CO,1730946110
10,tsiombe,-25.3,45.4833,21.2,86,99,1.34,MG,1730946112
11,pangai,-19.8,-174.35,25.06,61,40,5.14,TO,1730946113
12,la passe,45.5549,-0.8967,12.94,91,1,3.59,FR,1730946114
13,ushuaia,-54.8,-68.3,4.81,75,40,2.06,AR,1730946115
14,kalmunai,7.4167,81.8167,26.44,78,30,2.2,LK,1730946116
15,adamstown,-25.066,-130.1015,21.76,87,100,6.01,PN,1730946117
16,mahibadhoo,3.7833,72.9667,27.82,76,98,3.27,MV,1730946118
17,ulsteinvik,62.3432,5.8487,12.95,80,100,0.45,NO,1730946120
18,weno,7.4515,151.8468,31.97,74,40,3.09,FM,1730946121
19,hede,33.7681,120.2517,15.51,46,99,3.08,CN,1730946123
20,bengkulu,-3.8004,102.2655,25.25,86,100,2.43,ID,1730946124
21,izberbash,42.5696,47.8645,6.93,50,14,1.59,RU,1730946125
22,la mira,18.035,-102.3266,25.09,81,94,1.79,MX,1730946126
23,saipan,15.1355,145.701,26.39,89,100,8.23,MP,1730946127
24,la'ie,21.6477,-157.9253,27.98,83,6,1.79,US,1730946129
25,waitangi,-43.9535,-176.5597,13.98,86,16,3.49,NZ,1730946130
26,champerico,14.3,-91.9167,27.37,84,100,3.95,GT,1730946131
